"Congress","State","Party","Full.Name","born","died","Member.x","sess_1.x","sess_2.x","age","Member.y","Reason","Category_1","Category_2"
110,"AK","R","Lisa Murkowski",1957,NA,"Lisa Murkowski",2007,2008,50,NA,NA,NA,NA
110,"AK","R","Theodore Fulton (Ted) Stevens",1923,2010,"Ted Stevens",2007,2008,84,NA,NA,NA,NA
110,"AK","R","Donald Edwin Young",1933,NA,"Donald Young",2007,2008,74,NA,NA,NA,NA
110,"AL","D","Robert E. (bud) Cramer Jr.",1947,NA,"Bud Cramer",2007,2008,60,NA,NA,NA,NA
110,"AL","D","Artur Davis",1967,NA,"Artur Davis",2007,2008,40,NA,NA,NA,NA
110,"AL","R","Robert Aderholt",1965,NA,"Robert Aderholt",2007,2008,42,NA,NA,NA,NA
110,"AL","R","Spencer T. Bachus Iii",1947,NA,"Spencer Bachus",2007,2008,60,NA,NA,NA,NA
110,"AL","R","Josiah Robins (jo) Bonner Jr.",1959,NA,"Jo Bonner",2007,2008,48,NA,NA,NA,NA
110,"AL","R","Robert Terry Everett",1937,NA,"Robert Everett",2007,2008,70,NA,NA,NA,NA
110,"AL","R","Mike Dennis Rogers",1958,NA,"Mike Rogers",2007,2008,49,NA,NA,NA,NA
110,"AL","R","Jefferson Beauregard III (Jeff) Sessions",1946,NA,"Jeff Sessions",2007,2008,61,NA,NA,NA,NA
110,"AL","R","Richard C. Shelby",1934,NA,"Richard Shelby",2007,2008,73,NA,NA,NA,NA
110,"AR","D","Robert Marion Berry",1942,NA,"Robert Berry",2007,2008,65,NA,NA,NA,NA
110,"AR","D","Blanche Lambert Lincoln",1960,NA,"Blanche Lincoln",2007,2008,47,NA,NA,NA,NA
110,"AR","D","Mark Pryor",1963,NA,"Mark Pryor",2007,2008,44,NA,NA,NA,NA
110,"AR","D","Michael Avery Ross",1961,NA,"Michael Ross",2007,2008,46,NA,NA,NA,NA
110,"AR","D","Victor F. Snyder",1947,NA,"Victor Snyder",2007,2008,60,NA,NA,NA,NA
110,"AR","R","John Boozman",1950,NA,"John Boozman",2007,2008,57,NA,NA,NA,NA
110,"AZ","D","Gabrielle Giffords",1970,NA,"Gabrielle Giffords",2007,2008,37,NA,NA,NA,NA
110,"AZ","D","Raúl M. Grijalva",1948,NA,"Raúl Grijalva",2007,2008,59,NA,NA,NA,NA
110,"AZ","D","Harry E. Mitchell",1940,NA,"Harry Mitchell",2007,2008,67,NA,NA,NA,NA
110,"AZ","D","Ed Pastor",1943,NA,"Ed Pastor",2007,2008,64,NA,NA,NA,NA
110,"AZ","R","Jeff Flake",1962,NA,"Jeff Flake",2007,2008,45,NA,NA,NA,NA
110,"AZ","R","Trent Franks",1957,NA,"Trent Franks",2007,2008,50,NA,NA,NA,NA
110,"AZ","R","Jon Llewellyn Kyl",1942,NA,"Jon Kyl",2007,2008,65,NA,NA,NA,NA
110,"AZ","R","John Sidney Mccain Iii",1936,NA,"John Mccain",2007,2008,71,NA,NA,NA,NA
110,"AZ","R","Rick Renzi",1958,NA,"Rick Renzi",2007,2008,49,NA,NA,NA,NA
110,"AZ","R","John B. Shadegg",1949,NA,"John Shadegg",2007,2008,58,NA,NA,NA,NA
110,"CA","D","Joe Baca",1947,NA,"Joe Baca",2007,2008,60,NA,NA,NA,NA
110,"CA","D","Xavier Becerra",1958,NA,"Xavier Becerra",2007,2008,49,NA,NA,NA,NA
110,"CA","D","Howard Lawrence Berman",1941,NA,"Howard Berman",2007,2008,66,NA,NA,NA,NA
110,"CA","D","Barbara Boxer",1940,NA,"Barbara Boxer",2007,2008,67,NA,NA,NA,NA
110,"CA","D","Lois Capps",1938,NA,"Lois Capps",2007,2008,69,NA,NA,NA,NA
110,"CA","D","Dennis A. Cardoza",1959,NA,"Dennis Cardoza",2007,2008,48,NA,NA,NA,NA
110,"CA","D","Jim Costa",1952,NA,"Jim Costa",2007,2008,55,NA,NA,NA,NA
110,"CA","D","Susan A. Davis",1944,NA,"Susan Davis",2007,2008,63,NA,NA,NA,NA
110,"CA","D","Anna Georges Eshoo",1942,NA,"Anna Eshoo",2007,2008,65,NA,NA,NA,NA
110,"CA","D","Sam Farr",1941,NA,"Sam Farr",2007,2008,66,NA,NA,NA,NA
110,"CA","D","Dianne Feinstein",1933,NA,"Dianne Feinstein",2007,2008,74,NA,NA,NA,NA
