"Candidate","State","District","Office.Type","Primary.Status","Primary.Runoff.Status","Primary..","Race","Veteran.","LGBTQ.","Elected.Official.","Self.Funder.","STEM.","Obama.Alum.","Party.Support.","Emily.Endorsed.","Guns.Sense.Candidate.","Biden.Endorsed.","Warren.Endorsed.","Sanders.Endorsed.","Our.Revolution.Endorsed.","Justice.Dems.Endorsed.","PCCC.Endorsed.","Indivisible.Endorsed.","WFP.Endorsed.","VoteVets.Endorsed.","No.Labels.Support.","Election.Month"
"Anthony White (Alabama)","AL","Governor of Alabama","Governor","Lost","None",3.4200001,"Nonwhite","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Christopher Countryman","AL","Governor of Alabama","Governor","Lost","None",1.74,"White","No","Yes","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Doug ""New Blue"" Smith","AL","Governor of Alabama","Governor","Lost","None",3.27,"White","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"James C. Fields","AL","Governor of Alabama","Governor","Lost","None",8,"Nonwhite","Yes","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Sue Bell Cobb","AL","Governor of Alabama","Governor","Lost","None",28.98,"White","No","No","Yes","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Walt Maddox","AL","Governor of Alabama","Governor","Advanced","None",54.599998,"White","No","No","Yes","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Lizzetta Hill McConnell","AL","U.S. House Alabama District 1","Representative","Lost","None",19.23,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Robert Kennedy Jr.","AL","U.S. House Alabama District 1","Representative","Advanced","None",80.769997,"Nonwhite","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Audri Scott Williams","AL","U.S. House Alabama District 2","Representative","Lost","None",39.560001,"Nonwhite","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Tabitha Isner","AL","U.S. House Alabama District 2","Representative","Advanced","None",60.439999,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Adia McClellan Winfrey","AL","U.S. House Alabama District 3","Representative","Lost","None",34.240002,"Nonwhite","No","No","No","No","Yes","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Mallory Hagan","AL","U.S. House Alabama District 3","Representative","Advanced","None",65.739998,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Lee Auman","AL","U.S. House Alabama District 4","Representative","Advanced","None",54.130001,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Rick Neighbors","AL","U.S. House Alabama District 4","Representative","Lost","None",45.869999,"White","Yes","No","No","No","No","No","Neutral","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Peter Joffrion","AL","U.S. House Alabama District 5","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","6"
"Danner Kline","AL","U.S. House Alabama District 6","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","6"
"Jared Henderson","AR","Governor of Arkansas","Governor","Advanced","None",63.299999,"White","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Leticia Sanders","AR","Governor of Arkansas","Governor","Lost","None",36.700001,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Chintan Desai","AR","U.S. House Arkansas District 1","Representative","Advanced","None",100,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","5"
"Clarke Tucker","AR","U.S. House Arkansas District 2","Representative","Advanced","None",57.82,"White","No","No","Yes","No","No","No","Yes","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Gwen Combs","AR","U.S. House Arkansas District 2","Representative","Lost","None",20.299999,"White","Yes","No","No","No","No","No","No","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Jonathan Dunkley","AR","U.S. House Arkansas District 2","Representative","Lost","None",9.3400002,"Nonwhite","No","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Paul Spencer","AR","U.S. House Arkansas District 2","Representative","Lost","None",12.55,"White","No","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
"Joshua Mahony","AR","U.S. House Arkansas District 3","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","5"
"Hayden Shamel","AR","U.S. House Arkansas District 4","Representative","Advanced","None",100,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","5"
